Date,Amount,Category,Vendor,Card,Item,Recurring?,,Total,$95.35
9/1/2024,58.13,Furniture,Amazon,Prime Visa,Desk,FALSE,,,
9/1/2024,37.22,Shopping,CGTrader,Quicksilver,Bust models,FALSE,,,
